# freq[/s],z_re[ohm],z_im[ohm]
1.2589254118e-01,3.4507695359e+00,-1.0397120597e-01
1.5848931925e-01,3.4341098227e+00,-1.0746711448e-01
1.9952623150e-01,3.4167341877e+00,-1.1040881837e-01
2.5118864315e-01,3.3987908158e+00,-1.1263826030e-01
3.1622776602e-01,3.3804586755e+00,-1.1407392612e-01
3.9810717055e-01,3.3619175611e+00,-1.1467306107e-01
5.0118723363e-01,3.3433504385e+00,-1.1442320736e-01
6.3095734448e-01,3.3249328417e+00,-1.1334447579e-01
7.9432823472e-01,3.3068252952e+00,-1.1147500938e-01
1.0000000000e+00,3.2891798704e+00,-1.0886805015e-01
1.2589254118e+00,3.2721344103e+00,-1.0560285721e-01
1.5848931925e+00,3.2557949033e+00,-1.0177874088e-01
1.9952623150e+00,3.2402430985e+00,-9.7498133614e-02
2.5118864315e+00,3.2255488560e+00,-9.2864373717e-02
3.1622776602e+00,3.2117607258e+00,-8.7982972509e-02
3.9810717055e+00,3.1988985419e+00,-8.2949189478e-02
5.0118723363e+00,3.1869632918e+00,-7.7839653610e-02
6.3095734448e+00,3.1759456218e+00,-7.2725288662e-02
7.9432823472e+00,3.1658210468e+00,-6.7672273890e-02
1.0000000000e+01,3.1565480416e+00,-6.2729449052e-02
1.2589254118e+01,3.1480819094e+00,-5.7936563720e-02
1.5848931925e+01,3.1403761366e+00,-5.3326882968e-02
1.9952623150e+01,3.1333693814e+00,-4.8932325361e-02
2.5118864315e+01,3.1270114487e+00,-4.4790876781e-02
3.1622776602e+01,3.1212701671e+00,-4.0894716248e-02
3.9810717055e+01,3.1160893101e+00,-3.7280082912e-02
5.0118723363e+01,3.1114717306e+00,-3.3918680731e-02
6.3095734448e+01,3.1073159443e+00,-3.0768038141e-02
7.9432823472e+01,3.1035805143e+00,-2.7866319041e-02
1.0000000000e+02,3.1002253265e+00,-2.5196198951e-02
1.2589254118e+02,3.0972701830e+00,-2.2729619838e-02
1.5848931925e+02,3.0945575039e+00,-2.0435235249e-02
1.9952623150e+02,3.0921082533e+00,-1.8382462261e-02
2.5118864315e+02,3.0899328089e+00,-1.6528951511e-02
3.1622776602e+02,3.0879941678e+00,-1.4856086503e-02
3.9810717055e+02,3.0862724303e+00,-1.3343684234e-02
5.0118723363e+02,3.0847331326e+00,-1.1942501016e-02
6.3095734448e+02,3.0833307353e+00,-1.0700328973e-02
7.9432823472e+02,3.0820829775e+00,-9.5840936951e-03
1.0000000000e+03,3.0809569419e+00,-8.6104691503e-03
1.2589254118e+03,3.0799685405e+00,-7.7458390239e-03
1.5848931925e+03,3.0791215964e+00,-6.9633268059e-03
1.9952623150e+03,3.0783302681e+00,-6.2556817267e-03
2.5118864315e+03,3.0776342485e+00,-5.6270638517e-03
3.1622776602e+03,3.0770227880e+00,-5.0793300947e-03
3.9810717055e+03,3.0764860194e+00,-4.5992249240e-03
5.0118723363e+03,3.0760079016e+00,-4.1668506697e-03
6.3095734448e+03,3.0755753464e+00,-3.7910496090e-03
7.9432823472e+03,3.0751913852e+00,-3.4726114376e-03
1.0000000000e+04,3.0748413633e+00,-3.2006542511e-03
1.2589254118e+04,3.0745197211e+00,-2.9799036550e-03
1.5848931925e+04,3.0742351663e+00,-2.8383276786e-03
1.9952623150e+04,3.0739751329e+00,-2.7417283218e-03
2.5118864315e+04,3.0737463961e+00,-2.7237705999e-03
3.1622776602e+04,3.0735510541e+00,-2.7607349786e-03
3.9810717055e+04,3.0733649967e+00,-2.8739708800e-03
5.0118723363e+04,3.0731977611e+00,-3.0797569704e-03
6.3095734448e+04,3.0730444052e+00,-3.3987465933e-03
7.9432823472e+04,3.0729054190e+00,-3.8364015439e-03
1.0000000000e+05,3.0727663722e+00,-4.4336291678e-03
1.2589254118e+05,3.0726355920e+00,-5.2297112080e-03
1.5848931925e+05,3.0725119286e+00,-6.2617805776e-03
1.9952623150e+05,3.0723894350e+00,-7.5865073570e-03
2.5118864315e+05,3.0722679006e+00,-9.2757770812e-03
3.1622776602e+05,3.0721355557e+00,-1.1417297116e-02
3.9810717055e+05,3.0719931966e+00,-1.4128080243e-02
5.0118723363e+05,3.0718331808e+00,-1.7547927530e-02
6.3095734448e+05,3.0716488243e+00,-2.1858025640e-02
7.9432823472e+05,3.0714305125e+00,-2.7281902442e-02
1.0000000000e+06,3.0711603055e+00,-3.4102849160e-02
1.2589254118e+06,3.0708138509e+00,-4.2685941666e-02
1.5848931925e+06,3.0703491390e+00,-5.3486681399e-02
1.9952623150e+06,3.0696991904e+00,-6.7082049871e-02
2.5118864315e+06,3.0687492428e+00,-8.4195698920e-02
3.1622776602e+06,3.0673170669e+00,-1.0573294990e-01
3.9810717055e+06,3.0651098184e+00,-1.3282008248e-01
5.0118723363e+06,3.0616665282e+00,-1.6684920986e-01
6.3095734448e+06,3.0562618579e+00,-2.0952337385e-01
7.9432823472e+06,3.0477641833e+00,-2.6289377597e-01
1.0000000000e+07,3.0344201211e+00,-3.2935995051e-01
1.2589254118e+07,3.0135397859e+00,-4.1159601686e-01
1.5848931925e+07,2.9810831497e+00,-5.1230913789e-01
1.9952623150e+07,2.9311599375e+00,-6.3369826653e-01
2.5118864315e+07,2.8556070681e+00,-7.7642082178e-01
3.1622776602e+07,2.7440149316e+00,-9.3788859393e-01
3.9810717055e+07,2.5849073654e+00,-1.1100017276e+00
5.0118723363e+07,2.3689329118e+00,-1.2771591851e+00
6.3095734448e+07,2.0942114690e+00,-1.4165115467e+00
7.9432823472e+07,1.7718057152e+00,-1.5027157434e+00
1.0000000000e+08,1.4269213450e+00,-1.5170712321e+00
1.2589254118e+08,1.0925081763e+00,-1.4562245333e+00
1.5848931925e+08,7.9783490860e-01,-1.3338858165e+00
1.9952623150e+08,5.5951032122e-01,-1.1741175255e+00
2.5118864315e+08,3.7997796973e-01,-1.0015571778e+00
3.1622776602e+08,2.5196704079e-01,-8.3475658506e-01
3.9810717055e+08,1.6428564399e-01,-6.8445447661e-01
5.0118723363e+08,1.0589024855e-01,-5.5501576360e-01
6.3095734448e+08,6.7729872021e-02,-4.4675562597e-01
7.9432823472e+08,4.3103511233e-02,-3.5789300828e-01
1.0000000000e+09,2.7340858235e-02,-2.8582274851e-01
