# freq[/s],z_re[ohm],z_im[ohm]
1.0000000000e-01,1.1700470101e+01,-1.9863260961e-01
1.2589254118e-01,1.1673071759e+01,-1.9706303416e-01
1.5848931925e-01,1.1645148125e+01,-1.9327705052e-01
1.9952623150e-01,1.1615110933e+01,-1.9094434907e-01
2.5118864315e-01,1.1586794022e+01,-1.8814045212e-01
3.1622776602e-01,1.1558949997e+01,-1.8387590668e-01
3.9810717055e-01,1.1532962951e+01,-1.8279076258e-01
5.0118723363e-01,1.1506864032e+01,-1.7931948630e-01
6.3095734448e-01,1.1480473632e+01,-1.7669666553e-01
7.9432823472e-01,1.1454338252e+01,-1.7401055323e-01
1.0000000000e+00,1.1428031041e+01,-1.7082268977e-01
1.2589254118e+00,1.1402615157e+01,-1.6755483888e-01
1.5848931925e+00,1.1377266318e+01,-1.6368300815e-01
1.9952623150e+00,1.1352535909e+01,-1.5926548313e-01
2.5118864315e+00,1.1328850681e+01,-1.5432028719e-01
3.1622776602e+00,1.1305926257e+01,-1.4882355596e-01
3.9810717055e+00,1.1283961122e+01,-1.4323124074e-01
5.0118723363e+00,1.1263514312e+01,-1.3744927675e-01
6.3095734448e+00,1.1243899589e+01,-1.3121149832e-01
7.9432823472e+00,1.1225714342e+01,-1.2573114951e-01
1.0000000000e+01,1.1208938607e+01,-1.2012320914e-01
1.2589254118e+01,1.1192895691e+01,-1.1521056182e-01
1.5848931925e+01,1.1178524542e+01,-1.1098640705e-01
1.9952623150e+01,1.1165120403e+01,-1.0737213887e-01
2.5118864315e+01,1.1152512360e+01,-1.0536106826e-01
3.1622776602e+01,1.1141194646e+01,-1.0449794733e-01
3.9810717055e+01,1.1130300886e+01,-1.0518832674e-01
5.0118723363e+01,1.1120508925e+01,-1.0838095861e-01
6.3095734448e+01,1.1111194040e+01,-1.1366893300e-01
7.9432823472e+01,1.1101854605e+01,-1.2226991437e-01
1.0000000000e+02,1.1092889690e+01,-1.3455419451e-01
1.2589254118e+02,1.1083344677e+01,-1.5112891427e-01
1.5848931925e+02,1.1072717082e+01,-1.7366230969e-01
1.9952623150e+02,1.1060347498e+01,-2.0256775693e-01
2.5118864315e+02,1.1044192629e+01,-2.3933419328e-01
3.1622776602e+02,1.1023062325e+01,-2.8528944255e-01
3.9810717055e+02,1.0993506117e+01,-3.4103655673e-01
5.0118723363e+02,1.0951392320e+01,-4.0714649588e-01
6.3095734448e+02,1.0892285324e+01,-4.8168610574e-01
7.9432823472e+02,1.0810434435e+01,-5.6033267310e-01
1.0000000000e+03,1.0702347803e+01,-6.3591101391e-01
1.2589254118e+03,1.0567943465e+01,-6.9693040736e-01
1.5848931925e+03,1.0413127165e+01,-7.3251887874e-01
1.9952623150e+03,1.0250683051e+01,-7.3512456705e-01
2.5118864315e+03,1.0095337751e+01,-7.0466088790e-01
3.1622776602e+03,9.9594472022e+00,-6.4892182686e-01
3.9810717055e+03,9.8493869448e+00,-5.7888132449e-01
5.0118723363e+03,9.7649324703e+00,-5.0548525646e-01
6.3095734448e+03,9.7025411612e+00,-4.3672394403e-01
7.9432823472e+03,9.6566665898e+00,-3.7667051292e-01
1.0000000000e+04,9.6223512660e+00,-3.2717008558e-01
1.2589254118e+04,9.5957742639e+00,-2.8813565036e-01
1.5848931925e+04,9.5738479469e+00,-2.5870685293e-01
1.9952623150e+04,9.5544579891e+00,-2.3806353459e-01
2.5118864315e+04,9.5362030569e+00,-2.2492165127e-01
3.1622776602e+04,9.5178183767e+00,-2.1841819179e-01
3.9810717055e+04,9.4987194160e+00,-2.1780932379e-01
5.0118723363e+04,9.4781327536e+00,-2.2219527785e-01
6.3095734448e+04,9.4551355776e+00,-2.3168291367e-01
7.9432823472e+04,9.4304731382e+00,-2.4531121452e-01
1.0000000000e+05,9.4012861371e+00,-2.6216802468e-01
1.2589254118e+05,9.3693776880e+00,-2.8463191764e-01
1.5848931925e+05,9.3338655545e+00,-3.0816394847e-01
1.9952623150e+05,9.2911099711e+00,-3.3610783332e-01
2.5118864315e+05,9.2456584664e+00,-3.6619507340e-01
3.1622776602e+05,9.1935051054e+00,-3.9646841433e-01
3.9810717055e+05,9.1353762196e+00,-4.3027115496e-01
5.0118723363e+05,9.0726020995e+00,-4.6317200386e-01
6.3095734448e+05,9.0038217945e+00,-4.9562099756e-01
7.9432823472e+05,8.9332046598e+00,-5.2773121760e-01
1.0000000000e+06,8.8599824482e+00,-5.5968466619e-01
1.2589254118e+06,8.7864511514e+00,-5.9314913583e-01
1.5848931925e+06,8.7149741428e+00,-6.3041948803e-01
1.9952623150e+06,8.6462052452e+00,-6.7479158812e-01
2.5118864315e+06,8.5807954676e+00,-7.3229380194e-01
3.1622776602e+06,8.5180070478e+00,-8.0760724655e-01
3.9810717055e+06,8.4547487959e+00,-9.0817570434e-01
5.0118723363e+06,8.3869404630e+00,-1.0412352355e+00
6.3095734448e+06,8.3070770241e+00,-1.2143923168e+00
7.9432823472e+06,8.2042582653e+00,-1.4355865855e+00
1.0000000000e+07,8.0637882042e+00,-1.7098698564e+00
1.2589254118e+07,7.8643966609e+00,-2.0390739292e+00
1.5848931925e+07,7.5814767424e+00,-2.4171770119e+00
1.9952623150e+07,7.1874865176e+00,-2.8236911726e+00
2.5118864315e+07,6.6608424437e+00,-3.2230744998e+00
3.1622776602e+07,5.9994448346e+00,-3.5633193930e+00
3.9810717055e+07,5.2271904080e+00,-3.7891715013e+00
5.0118723363e+07,4.3982751095e+00,-3.8632119240e+00
6.3095734448e+07,3.5800413691e+00,-3.7760665627e+00
7.9432823472e+07,2.8296361833e+00,-3.5534794670e+00
1.0000000000e+08,2.1851493469e+00,-3.2381062063e+00
1.2589254118e+08,1.6559968260e+00,-2.8740179906e+00
1.5848931925e+08,1.2369807135e+00,-2.4997076531e+00
1.9952623150e+08,9.1433405979e-01,-2.1382220327e+00
2.5118864315e+08,6.6942978063e-01,-1.8058810670e+00
3.1622776602e+08,4.8807073290e-01,-1.5099669467e+00
3.9810717055e+08,3.5355527961e-01,-1.2520434988e+00
5.0118723363e+08,2.5530363468e-01,-1.0320464267e+00
6.3095734448e+08,1.8346634766e-01,-8.4601083065e-01
7.9432823472e+08,1.3130715629e-01,-6.9092725974e-01
1.0000000000e+09,9.3672960601e-02,-5.6154052438e-01
