# freq[/s],z_re[ohm],z_im[ohm]
1.5848931925e+02,1.1297424376e+01,-1.6153199980e-01
1.9952623150e+02,1.1279476528e+01,-1.8336510748e-01
2.5118864315e+02,1.1257775486e+01,-2.0898237786e-01
3.1622776602e+02,1.1231103130e+01,-2.3890066829e-01
3.9810717055e+02,1.1197901790e+01,-2.7262443218e-01
5.0118723363e+02,1.1156036966e+01,-3.0907492965e-01
6.3095734448e+02,1.1103639380e+01,-3.4664980120e-01
7.9432823472e+02,1.1039338904e+01,-3.8187545852e-01
1.0000000000e+03,1.0962858820e+01,-4.1000815411e-01
1.2589254118e+03,1.0876759405e+01,-4.2640485929e-01
1.5848931925e+03,1.0786202674e+01,-4.2699310487e-01
1.9952623150e+03,1.0697712414e+01,-4.1062719420e-01
2.5118864315e+03,1.0618021135e+01,-3.8002959136e-01
3.1622776602e+03,1.0551300773e+01,-3.3987459317e-01
3.9810717055e+03,1.0498444893e+01,-2.9555048853e-01
5.0118723363e+03,1.0458681508e+01,-2.5167946028e-01
6.3095734448e+03,1.0429809906e+01,-2.1098957027e-01
7.9432823472e+03,1.0409060997e+01,-1.7500254672e-01
1.0000000000e+04,1.0394531358e+01,-1.4431241813e-01
1.2589254118e+04,1.0384483823e+01,-1.1853982229e-01
1.5848931925e+04,1.0377282481e+01,-9.7415608841e-02
1.9952623150e+04,1.0372334942e+01,-8.0438941648e-02
2.5118864315e+04,1.0368925449e+01,-6.6785533023e-02
3.1622776602e+04,1.0366254695e+01,-5.6219667261e-02
3.9810717055e+04,1.0364455167e+01,-4.8400744188e-02
5.0118723363e+04,1.0363267094e+01,-4.2469383532e-02
6.3095734448e+04,1.0361800337e+01,-3.8735902388e-02
7.9432823472e+04,1.0361103108e+01,-3.7284789565e-02
1.0000000000e+05,1.0360706142e+01,-3.6555799638e-02
1.2589254118e+05,1.0359278197e+01,-3.8411576052e-02
1.5848931925e+05,1.0358927415e+01,-4.2412127255e-02
1.9952623150e+05,1.0358528864e+01,-4.7093158126e-02
2.5118864315e+05,1.0357261449e+01,-5.5383360725e-02
3.1622776602e+05,1.0356673098e+01,-6.6134196956e-02
3.9810717055e+05,1.0355956947e+01,-7.9315129976e-02
5.0118723363e+05,1.0354930797e+01,-9.7475046852e-02
6.3095734448e+05,1.0353941100e+01,-1.2021791179e-01
7.9432823472e+05,1.0352752264e+01,-1.4888959330e-01
1.0000000000e+06,1.0351293390e+01,-1.8577798087e-01
1.2589254118e+06,1.0349088879e+01,-2.3228445416e-01
1.5848931925e+06,1.0345898179e+01,-2.9095796032e-01
1.9952623150e+06,1.0341059918e+01,-3.6508916395e-01
2.5118864315e+06,1.0333389659e+01,-4.5838120585e-01
3.1622776602e+06,1.0321380362e+01,-5.7569189879e-01
3.9810717055e+06,1.0302414332e+01,-7.2274719139e-01
5.0118723363e+06,1.0272508452e+01,-9.0676611101e-01
6.3095734448e+06,1.0225617302e+01,-1.1357232667e+00
7.9432823472e+06,1.0152184460e+01,-1.4189220884e+00
1.0000000000e+07,1.0038065242e+01,-1.7653236188e+00
1.2589254118e+07,9.8626903156e+00,-2.1820694680e+00
1.5848931925e+07,9.5977405305e+00,-2.6707356742e+00
1.9952623150e+07,9.2073683116e+00,-3.2211199407e+00
2.5118864315e+07,8.6527154823e+00,-3.8036871433e+00
3.1622776602e+07,7.9036213561e+00,-4.3630116146e+00
3.9810717055e+07,6.9571588689e+00,-4.8197664875e+00
5.0118723363e+07,5.8557474309e+00,-5.0885828515e+00
6.3095734448e+07,4.6890535810e+00,-5.1101143130e+00
7.9432823472e+07,3.5695716834e+00,-4.8792723937e+00
1.0000000000e+08,2.5931205932e+00,-4.4478930815e+00
1.2589254118e+08,1.8105428480e+00,-3.8994593401e+00
1.5848931925e+08,1.2253994934e+00,-3.3160495932e+00
1.9952623150e+08,8.1055504570e-01,-2.7575626381e+00
2.5118864315e+08,5.2757589633e-01,-2.2575047740e+00
3.1622776602e+08,3.3964878011e-01,-1.8286515891e+00
3.9810717055e+08,2.1707938231e-01,-1.4709367177e+00
5.0118723363e+08,1.3807949571e-01,-1.1778268305e+00
6.3095734448e+08,8.7551941043e-02,-9.4036901456e-01
7.9432823472e+08,5.5407248745e-02,-7.4938256552e-01
1.0000000000e+09,3.4927050636e-02,-5.9648644634e-01
