# freq[/s],z_re[ohm],z_im[ohm]
3.9810717055e+00,5.1517134075e+00,-7.0914836049e-02
5.0118723363e+00,5.1412889072e+00,-6.8433313526e-02
6.3095734448e+00,5.1314977874e+00,-6.5883071958e-02
7.9432823472e+00,5.1223605080e+00,-6.3380620533e-02
1.0000000000e+01,5.1138884895e+00,-6.1049540728e-02
1.2589254118e+01,5.1060771564e+00,-5.9026530419e-02
1.5848931925e+01,5.0989017078e+00,-5.7458375503e-02
1.9952623150e+01,5.0923294461e+00,-5.6498851498e-02
2.5118864315e+01,5.0863203271e+00,-5.6325096359e-02
3.1622776602e+01,5.0808189727e+00,-5.7146481929e-02
3.9810717055e+01,5.0757508878e+00,-5.9203734770e-02
5.0118723363e+01,5.0710279934e+00,-6.2786598959e-02
6.3095734448e+01,5.0665278080e+00,-6.8248535214e-02
7.9432823472e+01,5.0620846737e+00,-7.6023292501e-02
1.0000000000e+02,5.0574458433e+00,-8.6641179597e-02
1.2589254118e+02,5.0522499809e+00,-1.0072710687e-01
1.5848931925e+02,5.0459569398e+00,-1.1903182055e-01
1.9952623150e+02,5.0377454519e+00,-1.4239883740e-01
2.5118864315e+02,5.0263915762e+00,-1.7170111776e-01
3.1622776602e+02,5.0101188524e+00,-2.0769612132e-01
3.9810717055e+02,4.9864372116e+00,-2.5073843293e-01
5.0118723363e+02,4.9521130992e+00,-3.0026981378e-01
6.3095734448e+02,4.9034468273e+00,-3.5411878381e-01
7.9432823472e+02,4.8371368686e+00,-4.0781238755e-01
1.0000000000e+03,4.7518762006e+00,-4.5442044358e-01
1.2589254118e+03,4.6502119968e+00,-4.8575090216e-01
1.5848931925e+03,4.5393387684e+00,-4.9504968696e-01
1.9952623150e+03,4.4295828142e+00,-4.8003523543e-01
2.5118864315e+03,4.3308857339e+00,-4.4404171312e-01
3.1622776602e+03,4.2495335437e+00,-3.9433080524e-01
3.9810717055e+03,4.1872156438e+00,-3.3894991019e-01
5.0118723363e+03,4.1421307127e+00,-2.8437026961e-01
6.3095734448e+03,4.1108241616e+00,-2.3455259539e-01
7.9432823472e+03,4.0896782379e+00,-1.9127735337e-01
1.0000000000e+04,4.0756475762e+00,-1.5487551874e-01
1.2589254118e+04,4.0664176632e+00,-1.2488981508e-01
1.5848931925e+04,4.0603632391e+00,-1.0053072609e-01
1.9952623150e+04,4.0563827225e+00,-8.0928858673e-02
2.5118864315e+04,4.0537526343e+00,-6.5282863984e-02
3.1622776602e+04,4.0519698793e+00,-5.2871337326e-02
3.9810717055e+04,4.0507241972e+00,-4.3089997779e-02
5.0118723363e+04,4.0498150654e+00,-3.5454904330e-02
6.3095734448e+04,4.0491251616e+00,-2.9589365137e-02
7.9432823472e+04,4.0486181227e+00,-2.5228873333e-02
1.0000000000e+05,4.0482659672e+00,-2.2192696522e-02
1.2589254118e+05,4.0480404854e+00,-2.0369341567e-02
1.5848931925e+05,4.0478958660e+00,-1.9663387452e-02
1.9952623150e+05,4.0477863587e+00,-2.0016491941e-02
2.5118864315e+05,4.0476838094e+00,-2.1407727326e-02
3.1622776602e+05,4.0475834351e+00,-2.3886683772e-02
3.9810717055e+05,4.0474799515e+00,-2.7587383540e-02
5.0118723363e+05,4.0473507215e+00,-3.2720271878e-02
6.3095734448e+05,4.0471552779e+00,-3.9550268696e-02
7.9432823472e+05,4.0468749377e+00,-4.8413825290e-02
1.0000000000e+06,4.0465111349e+00,-5.9778971357e-02
1.2589254118e+06,4.0460277653e+00,-7.4296477525e-02
1.5848931925e+06,4.0453096134e+00,-9.2789393836e-02
1.9952623150e+06,4.0441384082e+00,-1.1626355894e-01
2.5118864315e+06,4.0422230765e+00,-1.4591197582e-01
3.1622776602e+06,4.0391145593e+00,-1.8327557701e-01
3.9810717055e+06,4.0341596337e+00,-2.3015246508e-01
5.0118723363e+06,4.0264231694e+00,-2.8892261229e-01
6.3095734448e+06,4.0142267791e+00,-3.6242499282e-01
7.9432823472e+06,3.9950026619e+00,-4.5389337403e-01
1.0000000000e+07,3.9649608752e+00,-5.6686584809e-01
1.2589254118e+07,3.9182996228e+00,-7.0483782928e-01
1.5848931925e+07,3.8467614376e+00,-8.7044271881e-01
1.9952623150e+07,3.7389308376e+00,-1.0639440072e+00
2.5118864315e+07,3.5806095317e+00,-1.2807051171e+00
3.1622776602e+07,3.3567707765e+00,-1.5082792291e+00
3.9810717055e+07,3.0564398121e+00,-1.7240011720e+00
5.0118723363e+07,2.6800089496e+00,-1.8963629790e+00
6.3095734448e+07,2.2459479465e+00,-1.9926207200e+00
7.9432823472e+07,1.7905102702e+00,-1.9914026055e+00
1.0000000000e+08,1.3574490250e+00,-1.8929796765e+00
1.2589254118e+08,9.8269368698e-01,-1.7191279541e+00
1.5848931925e+08,6.8425591038e-01,-1.5027277209e+00
1.9952623150e+08,4.6218488604e-01,-1.2751418442e+00
2.5118864315e+08,3.0528666110e-01,-1.0587801040e+00
3.1622776602e+08,1.9851555838e-01,-8.6589405062e-01
3.9810717055e+08,1.2772278025e-01,-7.0092794407e-01
5.0118723363e+08,8.1597062669e-02,-5.6356732496e-01
6.3095734448e+08,5.1888106148e-02,-4.5113977518e-01
7.9432823472e+08,3.2894350317e-02,-3.6012012420e-01
1.0000000000e+09,2.0797363161e-02,-2.8694362214e-01
